,Addr,Walkscore,Walkscore_description,Snapped_lat,Snapped_lon,Transit_score,Transit_description,Transit_summary,Bike_score,Bike_description,Ml_num,Lat,Lng,LatLng_status
266,"1307 - 32 Davenport Road, Toronto, ON M5R 0B5",,,,,,,,,,C10442662,43.67327179999999,-79.3898897,1
15,"226 - 15 Coneflower Crescent, Toronto, ON M2R 0A5",56,Somewhat Walkable,43.779,-79.4505,66,Good Transit,"14 nearby routes: 14 bus, 0 rail, 0 other",72,Very Bikeable,C11902361,43.7785929,-79.45102729999999,1
168,"28 Coldbrook Drive, Cavan Monaghan, ON L0A 1G0",,,,,,,,,,X9285124,44.1578764,-78.446862,1
192,"2810 - 225 Sumach Street, Toronto, ON M5A 0P8",,,,,,,,,,C10406596,43.6611009,-79.3604498,1
74,"32 South Street, Orillia, ON L3V 3S9",,,,,,,,,,S9513970,44.6177776,-79.43191879999999,1
98,"49 Emerald Coast Trail, Brampton, ON L7A 5A7",,,,,,,,,,W11900561,43.6915969,-79.8621239,1
243,"61 Townline Road, Clarington, ON L1E 2J3",,,,,,,,,,E10272675,43.9104719,-78.81452490000001,1
43,"610 - 50 Brian Harrison Way, Toronto, ON M1P 5J4",,,,,,,,,,E11897405,43.773816,-79.258804,1
194,"909 - 4090 Living Arts Drive, Mississauga, ON L5B 4M8",,,,,,,,,,W11881770,43.58778,-79.64585,1
252,"97 Cleta Drive, Toronto, ON M1K 3G8",,,,,,,,,,E10421015,43.7240843,-79.2625702,1
